rank,timecode,name,note,source_start,source_end,peak,score
11,00:19:39,ASSET #20 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""see him. All right, wait. Oh, there was a toothbrush. We didn't do what he said. And what""",00:19:39,00:19:47,00:19:39,106.00
12,00:19:59,ASSET #11 Face palm.mp4,"Asset suggestion: Face palm.mp4; streamer references own stupidity; streamer references own stupidity; style boost +30; transcript: ""time guessing until we get it right? No, I was hoping that I'd look like a genius, but it""",00:19:59,00:20:07,00:19:59,116.00
13,00:22:24,ASSET #12 Face palm.mp4,"Asset suggestion: Face palm.mp4; streamer references own stupidity; streamer references own stupidity; style boost +30; transcript: ""brain's in a jar. Doesn't look like to be anything I can get. Hey, finally, we've got""",00:22:24,00:22:32,00:22:24,116.00
14,00:24:57,ASSET #21 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""Honestly, it was literally the best. Oh, wait, can I move this? It'll be too loud. I should""",00:24:57,00:25:06,00:24:57,106.00
15,00:25:06,ASSET #22 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""wait for a good opportunity to push the shelf. That's the same as in Butcherman, actually,""",00:25:06,00:25:14,00:25:06,106.00
16,00:25:26,ASSET #04 Face palm.mp4,"Asset suggestion: Face palm.mp4; self-own or bad decision, possible facepalm/stupidity insert; self-own or bad decision, possible facepalm/stupidity insert; style boost +30; transcript: ""believe I've knocked that again. What an idiot. He's going to come down one of these times.""",00:25:26,00:25:31,00:25:26,126.00
17,00:27:04,"BIT #03 Possible running bit: ""can't remember""","Running bit: Possible running bit: ""can't remember""; occurrence 3/12; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""for the bones. And back up. Get the flashlight. I can't remember where we got the useless flossing""",00:26:56,00:27:26,00:27:04,112.00
18,00:29:13,AI #27 audio,"Source 00:29:01-00:29:32; peak 00:29:13; score 115.2; audio: scream or yelp candidate, sudden jump +26.5 dB, above local baseline +26.6 dB",00:29:01,00:29:32,00:29:13,115.17
19,00:32:04,AI #24 audio,"Source 00:31:52-00:32:23; peak 00:32:04; score 120.9; audio: scream or yelp candidate, sudden jump +34.2 dB, above local baseline +26.5 dB",00:31:52,00:32:23,00:32:04,120.94
20,00:33:44,AI #01 audio+chat+transcript,"Source 00:33:01-00:34:50; peak 00:33:44; score 198.6; audio: impact or jumpscare candidate, sudden jump +34.1 dB, above local baseline +27.3 dB | chat: chat spike +2 messages, 3 active chatter(s) | transcript: fear/surprise phrase, strong reaction phrase (for then? Quit your game for 10 bits. You know what? We are struggling. What the hell / end. I don't kno",00:33:01,00:34:50,00:33:44,198.62
21,00:35:29,ASSET #23 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""does this law accurate? Appertrade incoming. Wait. Golden cover. What the fuck? Are you fucking""",00:35:29,00:35:44,00:35:29,106.00
22,00:35:45,AI #38 chat,"Source 00:35:30-00:36:20; peak 00:35:45; score 48.1; chat: chat spike +7 messages, 2 active chatter(s); Suggested assets: long wait or dead air gag: 84 years.mp4 (long wait or dead air gag; style boost +18)",00:35:30,00:36:20,00:35:45,48.10
23,00:37:30,AI #37 chat,"Source 00:37:15-00:38:05; peak 00:37:30; score 50.0; chat: chat spike +7 messages, 3 active chatter(s)",00:37:15,00:38:05,00:37:30,50.05
24,00:37:48,"BIT #04 Possible running bit: ""hype train""","Running bit: Possible running bit: ""hype train""; occurrence 1/9; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""capper hype train is considered a major community milestone. And we're doing it""",00:37:40,00:38:02,00:37:48,112.00
25,00:39:30,"BIT #05 Possible running bit: ""hype train""","Running bit: Possible running bit: ""hype train""; occurrence 2/9; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""how rare it is, though. How do we add other hype train before, though, haven't we? What""",00:39:22,00:39:52,00:39:30,112.00
26,00:39:44,AI #23 audio,"Source 00:39:32-00:40:02; peak 00:39:44; score 121.9; audio: scream or yelp candidate, sudden jump +25.3 dB, above local baseline +30.5 dB",00:39:32,00:40:02,00:39:44,121.92
27,00:40:11,AI #06 audio+chat,"Source 00:39:59-00:41:05; peak 00:40:11; score 172.8; audio: scream or yelp candidate, sudden jump +28.6 dB, above local baseline +30.1 dB | chat: chat spike +7 messages, 3 active chatter(s); Suggested assets: long wait or dead air gag: 84 years.mp4 (long wait or dead air gag; style boost +18)",00:39:59,00:41:05,00:40:11,172.83
28,00:41:15,AI #35 chat,"Source 00:41:00-00:41:50; peak 00:41:15; score 56.2; chat: chat spike +8 messages, 3 active chatter(s)",00:41:00,00:41:50,00:41:15,56.23
29,00:42:46,AI #19 audio+chat,"Source 00:42:00-00:43:04; peak 00:42:46; score 140.7; audio: scream or yelp candidate, sudden jump +31.5 dB, above local baseline +27.6 dB, near-clipping peak | chat: chat spike +1 messages, 1 reaction keyword(s), 2 active chatter(s)",00:42:00,00:43:04,00:42:46,140.68
30,00:43:41,"BIT #06 Possible running bit: ""hype train""","Running bit: Possible running bit: ""hype train""; occurrence 3/9; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""you can get a hype train. Literally, it's just random. It's nothing to do with anything. 200""",00:43:33,00:43:56,00:43:41,112.00
31,00:44:16,"BIT #07 Possible running bit: ""hype train""","Running bit: Possible running bit: ""hype train""; occurrence 4/9; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""to sub in the first place, you don't have subs. I feel like set off a hype train. It's like,""",00:44:08,00:44:36,00:44:16,112.00
32,00:44:53,"BIT #19 Possible running bit: ""don't understand""","Running bit: Possible running bit: ""don't understand""; occurrence 1/7; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""Why would you even set it to difficult? That doesn't make sense. I don't understand.""",00:44:45,00:45:11,00:44:53,107.00
33,00:45:22,"BIT #08 Possible running bit: ""can't remember""","Running bit: Possible running bit: ""can't remember""; occurrence 4/12; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""I can't remember if I've announced the bread ball I'm drinking today. Cherry Sakura.""",00:45:14,00:45:36,00:45:22,112.00
34,00:45:40,AI #31 transcript,"Source 00:45:01-00:46:10; peak 00:45:40; score 74.0; transcript: laugh/funny phrase + laugh/funny phrase, clip-worthy phrase (And that's, that's for certain. And a little small. You know what? This is gorgeous. I can't, / I can't remember if I've); Suggested assets: long wait or dead air gag: 84 years.mp4 (long wait or dead air gag; style boost +18)",00:45:01,00:46:10,00:45:40,74.00
35,00:46:15,ASSET #24 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""The summer edition stuff has been excellent. This is, wait, it just says the cherry edition.""",00:46:15,00:46:23,00:46:15,106.00
36,00:46:45,AI #36 chat,"Source 00:46:30-00:47:20; peak 00:46:45; score 56.2; chat: chat spike +8 messages, 3 active chatter(s); Suggested assets: long wait or dead air gag: 84 years.mp4 (long wait or dead air gag; style boost +18) | long wait or dead air gag: 84 years.mp4 (long wait or dead air gag; style boost +18)",00:46:30,00:47:20,00:46:45,56.23
37,00:47:08,"BIT #09 Possible running bit: ""hype train""","Running bit: Possible running bit: ""hype train""; occurrence 5/9; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""you missed the hype train, got a hype train record. And it was a golden capper,""",00:47:00,00:47:21,00:47:08,112.00
38,00:47:18,ASSET #25 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""Well, you know what that means, Smol, you've got a stream later so we can spam it in yours as well.""",00:47:18,00:47:23,00:47:18,106.00
39,00:47:40,ASSET #05 Face palm.mp4,"Asset suggestion: Face palm.mp4; self-own or bad decision, possible facepalm/stupidity insert; self-own or bad decision, possible facepalm/stupidity insert; style boost +30; transcript: ""and I need to use my wits and something else to get out. Unfortunately, I'm stupid,""",00:47:40,00:47:46,00:47:40,126.00
40,00:48:15,"BIT #35 Possible running bit: ""down here""","Running bit: Possible running bit: ""down here""; occurrence 1/6; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""I would be down here anyway, though, really? Like, why do I have to be quiet? He knows I'm down here.""",00:48:07,00:48:29,00:48:15,104.00
41,00:48:26,ASSET #06 Face palm.mp4,"Asset suggestion: Face palm.mp4; self-own or bad decision, possible facepalm/stupidity insert; self-own or bad decision, possible facepalm/stupidity insert; style boost +30; transcript: ""me to go and have a look around, didn't he? That's just bloody stupid. I'm not sure I had any wits""",00:48:26,00:48:37,00:48:26,126.00
42,00:49:06,AI #32 transcript,"Source 00:48:54-00:49:32; peak 00:49:06; score 63.0; transcript: fear/surprise phrase, strong reaction phrase, vocal reaction word (Can we get the bra now? No, what the hell am I going to use the marigold for? I'd be so annoying.)",00:48:54,00:49:32,00:49:06,63.00
43,00:50:35,"BIT #10 Possible running bit: ""hype train""","Running bit: Possible running bit: ""hype train""; occurrence 7/9; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""capper. It was phenomenal. Never had one before. We had a hype train record and everything. Here we go.""",00:50:27,00:51:01,00:50:35,112.00
44,00:52:06,"BIT #11 Possible running bit: ""can't remember""","Running bit: Possible running bit: ""can't remember""; occurrence 6/12; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""doing at this point. I can't remember the items we've got anymore. We've got the wire for the""",00:51:58,00:52:20,00:52:06,112.00
45,00:53:39,"BIT #12 Possible running bit: ""can't remember""","Running bit: Possible running bit: ""can't remember""; occurrence 7/12; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""stops starting because you were like, I can't remember now. I can't remember but I feel like""",00:53:31,00:53:57,00:53:39,112.00
46,00:54:26,"BIT #36 Possible running bit: ""down here""","Running bit: Possible running bit: ""down here""; occurrence 3/6; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""loud down here. Oh no, you know what we could have done? He had music on. We could have moved""",00:54:18,00:54:42,00:54:26,104.00
47,00:55:51,AI #22 audio,"Source 00:55:39-00:56:09; peak 00:55:51; score 123.5; audio: scream or yelp candidate, sudden jump +27.6 dB, above local baseline +28.8 dB",00:55:39,00:56:09,00:55:51,123.46
48,00:56:39,AI #20 audio,"Source 00:56:27-00:56:57; peak 00:56:39; score 128.3; audio: scream or yelp candidate, sudden jump +31.4 dB, above local baseline +29.2 dB",00:56:27,00:56:57,00:56:39,128.30
49,00:56:47,"BIT #13 Possible running bit: ""can't remember""","Running bit: Possible running bit: ""can't remember""; occurrence 9/12; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""marigold and I can't remember how, but I'm sure it'll come to me. Either way you get to this area,""",00:56:39,00:57:04,00:56:47,112.00
50,00:57:17,"BIT #37 Possible running bit: ""don't have""","Running bit: Possible running bit: ""don't have""; occurrence 3/6; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""little bit underneath it, but there is an x-ray of some teeth on the thing. Oh yeah, we don't have to""",00:57:09,00:57:35,00:57:17,104.00
51,01:00:24,"BIT #38 Possible running bit: ""down here""","Running bit: Possible running bit: ""down here""; occurrence 4/6; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""Probably need the key from upstairs. What's there anything else I had to unlock down here?""",01:00:16,01:00:51,01:00:24,104.00
52,01:04:01,"BIT #20 Possible running bit: ""don't understand""","Running bit: Possible running bit: ""don't understand""; occurrence 3/7; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""Don't do this to me game. Don't make me Google. Do not. We've come too far. I don't understand""",01:03:53,01:04:26,01:04:01,107.00
53,01:05:19,"BIT #39 Possible running bit: ""down here""","Running bit: Possible running bit: ""down here""; occurrence 5/6; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""Like we might be trying to sleep down here. There's nothing else I can interact with possibly.""",01:05:11,01:05:38,01:05:19,104.00
54,01:05:57,"BIT #21 Possible running bit: ""don't understand""","Running bit: Possible running bit: ""don't understand""; occurrence 4/7; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""reset again. I don't understand. There's nothing in here either is there that I can do.""",01:05:49,01:06:19,01:05:57,107.00
55,01:06:10,ASSET #26 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""I can't even do anything with that door. Wait, is that just the door over there? That's just that""",01:06:10,01:06:21,01:06:10,106.00
56,01:09:34,ASSET #07 Face palm.mp4,"Asset suggestion: Face palm.mp4; self-own or bad decision, possible facepalm/stupidity insert; self-own or bad decision, possible facepalm/stupidity insert; style boost +30; transcript: ""key. Let's see if it's this one. These serious killers are so stupid, aren't they? Why would you""",01:09:34,01:09:41,01:09:34,126.00
57,01:10:51,ASSET #27 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""We're just adding to his collection. What a monster. I don't understand. Oh, the code. Is it? Wait, 0091408.""",01:10:51,01:11:09,01:10:51,106.00
58,01:12:22,ASSET #13 Face palm.mp4,"Asset suggestion: Face palm.mp4; streamer references own stupidity; streamer references own stupidity; style boost +30; transcript: ""Why is he kept driving licence in a mason jar next to mum's brain in the fridge?""",01:12:22,01:12:28,01:12:22,116.00
59,01:13:37,ASSET #28 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""Wait, 00914. And then what's it?""",01:13:37,01:13:43,01:13:37,106.00
60,01:15:00,ASSET #14 Face palm.mp4,"Asset suggestion: Face palm.mp4; streamer references own stupidity; streamer references own stupidity; style boost +30; transcript: ""There's the chip, okay. 031924. Get that locked in your old brain.""",01:15:00,01:15:07,01:15:00,116.00
61,01:18:16,"BIT #22 Possible running bit: ""love a detective""","Running bit: Possible running bit: ""love a detective""; occurrence 1/7; repeated uncommon multi-word phrase; auto-discovered repeated reference; transcript: ""and you know ever since I've been singing. Oh I love a detective rainy night. Oh I love a detective""",01:18:08,01:18:35,01:18:16,107.00
62,01:18:25,"BIT #23 Possible running bit: ""love a detective""","Running bit: Possible running bit: ""love a detective""; occurrence 2/7; repeated uncommon multi-word phrase; auto-discovered repeated reference; transcript: ""rainy night. You know I love a detective rainy night. We've got September 7th as well. I got this""",01:18:17,01:18:43,01:18:25,107.00
63,01:19:20,"BIT #44 Possible running bit: ""don't even""","Running bit: Possible running bit: ""don't even""; occurrence 3/5; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""I don't yet honestly I don't even look at stuff. I just look at the game because it's got positive""",01:19:12,01:19:35,01:19:20,101.00
64,01:20:21,ASSET #29 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""Oh we've got this today as well in song later chapter one. The Arctic Research Station, Percy,""",01:20:21,01:20:32,01:20:21,106.00
65,01:22:14,"BIT #24 Possible running bit: ""let's have""","Running bit: Possible running bit: ""let's have""; occurrence 2/7; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""ago. Let's have a look. Oh yeah you wanted to play this one didn't you? Stranded for us after""",01:22:06,01:22:43,01:22:14,107.00
66,01:24:15,"BIT #25 Possible running bit: ""let's have""","Running bit: Possible running bit: ""let's have""; occurrence 3/7; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""Well all right let's have a quick break. I'm going to go for a wee.""",01:24:07,01:24:30,01:24:15,107.00
67,01:27:08,ASSET #15 Wrong way.mp4,"Asset suggestion: Wrong way.mp4; wrong direction or navigation fail; wrong direction or navigation fail; style boost +20; transcript: ""This is not obvious. We're going hello sir. Apologies for the best way. I'm so terribly lost.""",01:27:08,01:27:21,01:27:08,114.00
68,01:28:15,AI #25 audio,"Source 01:28:03-01:28:34; peak 01:28:15; score 118.3; audio: impact or jumpscare candidate, sudden jump +31.7 dB, above local baseline +26.0 dB; Suggested assets: self-own or bad decision, possible facepalm/stupidity insert: Face palm.mp4 (self-own or bad decision, possible facepalm/stupidity insert; style boost +30)",01:28:03,01:28:34,01:28:15,118.32
69,01:28:26,ASSET #08 Face palm.mp4,"Asset suggestion: Face palm.mp4; self-own or bad decision, possible facepalm/stupidity insert; self-own or bad decision, possible facepalm/stupidity insert; style boost +30; transcript: ""Yeah the driving has been a bit rough I'll give you that. What am I doing? Oh bloody hell.""",01:28:26,01:28:39,01:28:26,126.00
70,01:31:35,AI #40 transcript,"Source 01:30:43-01:32:24; peak 01:31:35; score 45.0; transcript: fear/surprise phrase + fear/surprise phrase, vocal reaction word (Who is this? Name is Dr. Allodes. My car's a wreck. So you better help me fix this mess. / Oh my god yeah absolutely. Th)",01:30:43,01:32:24,01:31:35,45.00
71,01:33:09,"BIT #26 Possible running bit: ""let's have""","Running bit: Possible running bit: ""let's have""; occurrence 4/7; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""Let's have a look. You like this grandma. Not a grandma. She's more tapping yours.""",01:33:01,01:33:23,01:33:09,107.00
72,01:34:33,ASSET #16 Wrong way.mp4,"Asset suggestion: Wrong way.mp4; wrong direction or navigation fail; wrong direction or navigation fail; style boost +20; transcript: ""Kept tracking the whole video. You spent 1.9 hours getting lost and walking.""",01:34:33,01:34:37,01:34:33,114.00
73,01:36:15,AI #30 chat,"Source 01:36:00-01:36:50; peak 01:36:15; score 74.1; chat: chat spike +9 messages, 9 active chatter(s)",01:36:00,01:36:50,01:36:15,74.10
74,01:38:29,ASSET #30 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""packing their bags in that hotel room waiting to go. You hope for a draw. Yeah. I've had a little""",01:38:29,01:38:40,01:38:29,106.00
75,01:39:20,"BIT #14 Possible running bit: ""can't remember""","Running bit: Possible running bit: ""can't remember""; occurrence 10/12; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""someone. I can't remember who we're called now. That's rough, man. Sorry to hear that. Are you""",01:39:12,01:39:35,01:39:20,112.00
76,01:43:41,"BIT #40 Possible running bit: ""don't have""","Running bit: Possible running bit: ""don't have""; occurrence 4/6; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""I think the thing with football is it's boring if you don't have a horse in the race. You know what""",01:43:33,01:43:58,01:43:41,104.00
77,01:44:37,"BIT #15 Possible running bit: ""can't remember""","Running bit: Possible running bit: ""can't remember""; occurrence 11/12; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""dead young. I can't remember how old I was, but like, I was little. And my dad was not in the house.""",01:44:29,01:44:52,01:44:37,112.00
78,01:45:50,AI #07 audio+transcript,"Source 01:44:25-01:46:08; peak 01:45:50; score 171.6; audio: scream or yelp candidate, sudden jump +34.7 dB, above local baseline +31.1 dB, near-clipping peak | transcript: laugh/funny phrase + fear/surprise phrase, vocal reaction word (dead young. I can't remember how old I was, but like, I was little. And my dad was not in the house. / We're gonna have )",01:44:25,01:46:08,01:45:50,171.63
79,01:47:35,AI #02 audio+transcript,"Source 01:46:37-01:47:53; peak 01:47:35; score 197.6; audio: scream or yelp candidate, sudden jump +33.1 dB, above local baseline +27.3 dB, near-clipping peak | transcript: laugh/funny phrase, clip-worthy phrase + laugh/funny phrase, vocal reaction word (Three minutes in England, fluff to shot. I can't believe I'm playing share of phobia instead of / We're j",01:46:37,01:47:53,01:47:35,197.61
80,01:48:21,AI #09 audio+transcript,"Source 01:48:09-01:49:21; peak 01:48:21; score 167.3; audio: scream or yelp candidate, sudden jump +35.5 dB, above local baseline +30.1 dB | transcript: laugh/funny phrase, vocal reaction word (Then back here we get pulled by a werewolf. No, I can't. All right, back to the house we go,)",01:48:09,01:49:21,01:48:21,167.26
81,01:51:27,ASSET #31 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""but never mind you did. Oh, she's standing here waiting for me.""",01:51:27,01:51:32,01:51:27,106.00
82,01:52:32,AI #15 audio+transcript,"Source 01:52:20-01:53:40; peak 01:52:32; score 155.3; audio: scream or yelp candidate, sudden jump +36.6 dB, above local baseline +23.8 dB | transcript: fear/surprise phrase, vocal reaction word (Just open the door already. You don't have time for this. Oh my god, he's so fucking rude.)",01:52:20,01:53:40,01:52:32,155.32
83,01:53:16,"BIT #41 Possible running bit: ""don't have""","Running bit: Possible running bit: ""don't have""; occurrence 5/6; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""Just open the door already. You don't have time for this. Oh my god, he's so fucking rude.""",01:53:08,01:53:32,01:53:16,104.00
84,01:54:31,AI #14 audio+chat+transcript,"Source 01:54:00-01:55:12; peak 01:54:31; score 164.6; audio: scream or yelp candidate, sudden jump +44.2 dB, above local baseline +21.9 dB | chat: chat spike +2 messages | transcript: fear/surprise phrase, vocal reaction word (since that, oh my god. Now you know she is option three isn't so bad. We're not doing option three.); Suggested assets: repeat mistak",01:54:00,01:55:12,01:54:31,164.64
85,01:56:11,AI #33 transcript,"Source 01:55:59-01:56:48; peak 01:56:11; score 58.0; transcript: fear/surprise phrase, strong reaction phrase (an experiment on her. What the fuck? Why is it like the old dialer last time? We're trying to find)",01:55:59,01:56:48,01:56:11,58.00
86,01:59:28,AI #08 audio+chat+transcript,"Source 01:59:14-02:00:05; peak 01:59:28; score 171.5; audio: scream or yelp candidate, sudden jump +31.1 dB, above local baseline +23.3 dB, near-clipping peak | chat: chat spike +2 messages, 1 reaction keyword(s), 2 active chatter(s) | transcript: laugh/funny phrase, vocal reaction word (Smallwood rather watch, share. Then Harry Kane. Okay. I can't move now.",01:59:14,02:00:05,01:59:28,171.48
87,02:00:02,ASSET #32 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""Wait. You look quite worn out. If you don't mind me saying, why don't you stay here for the""",02:00:02,02:00:07,02:00:02,106.00
88,02:00:50,AI #28 audio,"Source 02:00:38-02:01:09; peak 02:00:50; score 114.1; audio: scream or yelp candidate, sudden jump +25.7 dB, above local baseline +26.4 dB, near-clipping peak; Suggested assets: long wait or dead air gag: 84 years.mp4 (long wait or dead air gag; style boost +18)",02:00:38,02:01:09,02:00:50,114.14
89,02:01:09,ASSET #33 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""a quest. It won't surprise me. Where's the key? There's a knife on there now. Wait, can I get the knife?""",02:01:09,02:01:24,02:01:09,106.00
90,02:01:26,AI #11 audio+transcript,"Source 02:01:13-02:03:22; peak 02:01:26; score 165.9; audio: scream or yelp candidate, sudden jump +37.1 dB, above local baseline +27.7 dB, near-clipping peak | transcript: laugh/funny phrase + fear/surprise phrase, vocal reaction word (And the record player thing is gone. I can't get it. Why does it eat her open on the ceiling? / The dog was there. She f); ",02:01:13,02:03:22,02:01:26,165.93
91,02:02:09,ASSET #34 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""The dog was there. She fixed in the car. Oh my God. Wait, he's got heartbeat.""",02:02:09,02:02:24,02:02:09,106.00
92,02:03:57,ASSET #35 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""Wait, what's this? Is that me? Are we the cat?""",02:03:57,02:04:10,02:03:57,106.00
93,02:04:16,AI #12 audio+chat+transcript,"Source 02:03:30-02:04:55; peak 02:04:16; score 165.7; audio: scream or yelp candidate, sudden jump +31.5 dB, above local baseline +23.2 dB | chat: chat spike +1 messages, 1 reaction keyword(s) | transcript: fear/surprise phrase, vocal reaction word (But I don't think this doctor's that nice. Why does it say our IP? Nothing else. Oh my God.); Suggested assets",02:03:30,02:04:55,02:04:16,165.67
94,02:05:29,AI #34 transcript,"Source 02:05:17-02:06:14; peak 02:05:29; score 58.0; transcript: fear/surprise phrase, strong reaction phrase + laugh/funny phrase (especially alone. Am I losing it? What the fuck? Why has she got white walker hair? / I can't. She the picture. What's h); Suggested assets: long wait or dead air gag: 84 years.mp4 (long wait or dead air gag; style boost +18) | ",02:05:17,02:06:14,02:05:29,58.00
95,02:05:58,ASSET #36 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""Waiting in your car isn't working as you hoped. Yes, small golden calf are there.""",02:05:58,02:06:08,02:05:58,106.00
96,02:07:01,"BIT #42 Possible running bit: ""don't have""","Running bit: Possible running bit: ""don't have""; occurrence 6/6; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""See, as we don't have a choice. He's doing the heartbeat early again.""",02:06:53,02:07:14,02:07:01,104.00
