rank,timecode,name,note,source_start,source_end,peak,score
16,00:15:58,ASSET #26 Not again.mp4,"Asset suggestion: Not again.mp4; repeat mistake or recurring bit; repeat mistake or recurring bit; style boost +18; transcript: ""They said it again""",00:15:58,00:16:00,00:15:58,104.00
17,00:17:05,ASSET #12 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""So wait, so do they like the neighbor? No, he's gone missing and now we're in his house and""",00:17:05,00:17:12,00:17:05,106.00
18,00:17:30,AI #27 audio,"Source 00:17:18-00:17:49; peak 00:17:30; score 46.4; audio: unusual loudness, sudden jump +10.6 dB, above local baseline +10.2 dB; Suggested assets: long wait or dead air gag: 84 years.mp4 (long wait or dead air gag; style boost +18) | direct transcript asset match: Wrong.gif (exact filename phrase ""wrong"") | direct transcript asset match: Light.mp4 (exact f",00:17:18,00:17:49,00:17:30,46.40
19,00:18:26,"BIT #12 Possible running bit: ""it's fine""","Running bit: Possible running bit: ""it's fine""; occurrence 1/3; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""You said he wanted to go to the second floor, but it's blocked and sure it's fine. I""",00:18:18,00:18:46,00:18:26,95.00
20,00:18:38,"BIT #13 Possible running bit: ""it's fine""","Running bit: Possible running bit: ""it's fine""; occurrence 2/3; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""Am sure it's fine. Okay. We're just watching some TV nice static for everyone""",00:18:30,00:18:53,00:18:38,95.00
21,00:18:49,AI #08 audio+transcript,"Source 00:18:03-00:19:07; peak 00:18:49; score 88.6; audio: unusual loudness, sudden jump +11.6 dB, above local baseline +11.6 dB | transcript: laugh/funny phrase, vocal reaction word (Okay, I can't get in there, so I don't think I do anything with this no); Suggested assets: direct transcript asset match: Wall.mp4 (exact filename phrase ""wall"") | direct tra",00:18:03,00:19:07,00:18:49,88.59
22,00:19:07,"BIT #17 Possible running bit: ""we're back""","Running bit: Possible running bit: ""we're back""; occurrence 2/4; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""Right, so okay. We're back here. So let's no sorry. That's that's let's go round if this is a wrap around porch""",00:18:59,00:19:29,00:19:07,93.42
23,00:19:18,AI #28 audio,"Source 00:19:06-00:19:36; peak 00:19:18; score 46.1; audio: sudden noise candidate, sudden jump +14.1 dB, above local baseline +7.9 dB; Suggested assets: direct transcript asset match: Creepy.mp4 (exact filename phrase ""creepy"") | direct transcript asset match: Creepy.mp4 (exact filename phrase ""creepy"")",00:19:06,00:19:36,00:19:18,46.14
24,00:19:58,AI #22 audio,"Source 00:19:46-00:20:17; peak 00:19:58; score 57.0; audio: unusual loudness, sudden jump +9.6 dB, above local baseline +15.7 dB; Suggested assets: direct transcript asset match: Creepy.mp4 (exact filename phrase ""creepy"") | direct transcript asset match: Wall.mp4 (exact filename phrase ""wall"")",00:19:46,00:20:17,00:19:58,56.99
25,00:21:02,"BIT #19 Possible running bit: ""murder room""","Running bit: Possible running bit: ""murder room""; occurrence 1/3; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""But I have played a lot of these games. This does look like a murder room""",00:20:54,00:21:17,00:21:02,92.11
26,00:21:59,AI #18 transcript,"Source 00:21:10-00:22:28; peak 00:21:59; score 68.0; transcript: fear/surprise phrase, strong reaction phrase + laugh/funny phrase, vocal reaction word + fear/surprise phrase, laugh/funny phrase (What the actual fuck you were okay? / To be honest, there may be something in these toilets. Oh, I can't open that one /); Suggested assets: direct transcript asset",00:21:10,00:22:28,00:21:59,68.00
27,00:22:23,"BIT #01 Possible running bit: ""it's here""","Running bit: Possible running bit: ""it's here""; occurrence 1/6; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""Well, there's no lights on here price to get worse. Oh, it's here""",00:22:15,00:22:40,00:22:23,104.00
28,00:22:48,ASSET #13 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""We've been waiting for you, Armin""",00:22:48,00:22:52,00:22:48,106.00
29,00:23:52,AI #34 transcript,Source 00:23:32-00:24:16; peak 00:23:52; score 36.0; transcript: laugh/funny phrase + fear/surprise phrase (I can't go it's got be in here. I'm gonna die / Stop it. There must be a problem with the electricity. It's time to go); Suggested assets: long wait or dead air gag: 84 years.mp4 (long wait or dead air gag; style boost +18) | direct transcript asset ma,00:23:32,00:24:16,00:23:52,36.00
30,00:24:01,ASSET #14 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""Armin's realized the error of his ways. Oh wait, I""",00:24:01,00:24:04,00:24:01,106.00
31,00:24:39,ASSET #27 Not again.mp4,"Asset suggestion: Not again.mp4; repeat mistake or recurring bit; repeat mistake or recurring bit; style boost +18; transcript: ""Doll mannequin thing again. What is this looks like the maker of dolls lived here, but why is he nowhere to be found?""",00:24:39,00:24:48,00:24:39,104.00
32,00:25:07,ASSET #28 Not again.mp4,"Asset suggestion: Not again.mp4; repeat mistake or recurring bit; repeat mistake or recurring bit; style boost +18; transcript: ""Okay, when I turn the flashlight off, it's literally pitch black. That's not do that ever again. Okay, okay""",00:25:07,00:25:12,00:25:07,104.00
33,00:26:35,AI #19 transcript,"Source 00:25:48-00:27:25; peak 00:26:35; score 63.0; transcript: fear/surprise phrase, vocal reaction word + fear/surprise phrase, strong reaction phrase, vocal reaction word + fear/surprise phrase (I don't I don't know if we have to stay in here anymore, but I don't think so. Oh my god / Supposed to lose the basement); Suggested assets: long wait or dead ai",00:25:48,00:27:25,00:26:35,63.00
34,00:26:46,ASSET #15 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""We didn't explore down here did we became in over here wait wait. We're out. We did it""",00:26:46,00:26:52,00:26:46,106.00
35,00:27:27,AI #16 audio,"Source 00:27:15-00:27:45; peak 00:27:27; score 70.4; audio: sudden noise candidate, sudden jump +19.2 dB, above local baseline +13.4 dB, near-clipping peak",00:27:15,00:27:45,00:27:27,70.37
36,00:27:43,"BIT #10 Possible running bit: ""didn't have""","Running bit: Possible running bit: ""didn't have""; occurrence 3/5; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""How is he not realized he didn't have his hat on the whole time what goober? I?""",00:27:35,00:27:57,00:27:43,101.00
37,00:28:03,"BIT #02 Possible running bit: ""down here""","Running bit: Possible running bit: ""down here""; occurrence 2/6; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""Well, the hat was the hat would be down here somewhere then okay at least we can get in this way now""",00:27:55,00:28:24,00:28:03,104.00
38,00:28:36,AI #29 transcript,"Source 00:28:24-00:28:59; peak 00:28:36; score 41.0; transcript: fear/surprise phrase, vocal reaction word (No, I don't want to play stop it)",00:28:24,00:28:59,00:28:36,41.00
39,00:30:01,AI #35 transcript,"Source 00:29:13-00:30:44; peak 00:30:01; score 36.0; transcript: laugh/funny phrase + fear/surprise phrase (I can't do a puzzle right now. I'm stressed / Good, let's go upstairs. I hate this little mannequin kid. He's awful. I r); Suggested assets: long wait or dead air gag: 84 years.mp4 (long wait or dead air gag; style boost +18)",00:29:13,00:30:44,00:30:01,36.00
40,00:31:08,"BIT #03 Possible running bit: ""down here""","Running bit: Possible running bit: ""down here""; occurrence 3/6; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""Okay, let's go back down here""",00:31:00,00:31:22,00:31:08,104.00
41,00:31:24,ASSET #29 Not again.mp4,"Asset suggestion: Not again.mp4; repeat mistake or recurring bit; repeat mistake or recurring bit; style boost +18; transcript: ""The hell stop. Oh, it's this room again""",00:31:24,00:31:38,00:31:24,104.00
42,00:31:55,ASSET #16 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""Wait, where was it? That does look a little bit different to every other thing in here. So it""",00:31:55,00:31:59,00:31:55,106.00
43,00:33:13,AI #10 audio+transcript,"Source 00:33:01-00:34:08; peak 00:33:13; score 82.2; audio: unusual loudness, sudden jump +7.5 dB, above local baseline +11.6 dB, near-clipping peak | transcript: fear/surprise phrase (What was that stat on how?); Suggested assets: streamer references own stupidity: Face palm.mp4 (streamer references own stupidity; style boost +30)",00:33:01,00:34:08,00:33:13,82.21
44,00:35:23,AI #36 transcript,Source 00:35:02-00:35:45; peak 00:35:23; score 36.0; transcript: laugh/funny phrase + fear/surprise phrase (Now I can't eat my hair started to fall out and the skin began to rot / Blew my voice on my screen with help. Okay. I re),00:35:02,00:35:45,00:35:23,36.00
45,00:35:51,"BIT #04 Possible running bit: ""it's here""","Running bit: Possible running bit: ""it's here""; occurrence 2/6; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""Where's the kitchen? It's here""",00:35:43,00:36:03,00:35:51,104.00
46,00:36:42,ASSET #30 Not again.mp4,"Asset suggestion: Not again.mp4; repeat mistake or recurring bit; repeat mistake or recurring bit; style boost +18; transcript: ""He's writing his notes again. We're not really giving food""",00:36:42,00:36:56,00:36:42,104.00
47,00:37:06,ASSET #17 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""Wait, but it says""",00:37:06,00:37:11,00:37:06,106.00
48,00:38:07,"BIT #05 Possible running bit: ""it's here""","Running bit: Possible running bit: ""it's here""; occurrence 3/6; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""Got to think about these things haven't you? How do I get out? I need to learn the way this map a little bit better. Oka""",00:37:59,00:38:29,00:38:07,104.00
49,00:41:35,"BIT #06 Possible running bit: ""down here""","Running bit: Possible running bit: ""down here""; occurrence 4/6; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""Let's do a loop of down here then looking at the pictures""",00:41:27,00:41:48,00:41:35,104.00
50,00:41:49,ASSET #31 Not again.mp4,"Asset suggestion: Not again.mp4; repeat mistake or recurring bit; repeat mistake or recurring bit; style boost +18; transcript: ""It's a little rat sound again""",00:41:49,00:41:55,00:41:49,104.00
51,00:42:36,AI #13 transcript,"Source 00:42:24-00:43:34; peak 00:42:36; score 74.0; transcript: laugh/funny phrase, clip-worthy phrase + fear/surprise phrase (I can't believe he came back in for his bloody hat / What is that noise by here?); Suggested assets: self-own or bad decision, possible facepalm/stupidity insert: Face palm.mp4 (self-own or bad decision, possible facepalm/stupidity ",00:42:24,00:43:34,00:42:36,74.00
52,00:43:02,"BIT #18 Possible running bit: ""we're back""","Running bit: Possible running bit: ""we're back""; occurrence 3/4; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""Oh, we're back at the kitchen""",00:42:54,00:43:14,00:43:02,93.42
53,00:44:41,AI #02 audio+chat+transcript,"Source 00:44:29-00:45:20; peak 00:44:41; score 151.1; audio: sudden noise candidate, sudden jump +34.0 dB, near-clipping peak | chat: chat spike +2 messages | transcript: fear/surprise phrase + laugh/funny phrase, clip-worthy phrase (Why did I press exit? / So, you know, I can't believe this); Suggested assets: self-own or bad decision, possible facepalm/stu",00:44:29,00:45:20,00:44:41,151.06
54,00:44:50,ASSET #32 Not again.mp4,"Asset suggestion: Not again.mp4; repeat mistake or recurring bit; repeat mistake or recurring bit; style boost +18; transcript: ""Well, small, luckily for you, I've got to fucking play it again""",00:44:50,00:44:53,00:44:50,104.00
55,00:45:52,ASSET #18 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""Wait, the TV's didn't come on""",00:45:52,00:45:54,00:45:52,106.00
56,00:46:08,ASSET #19 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""Wait""",00:46:08,00:46:09,00:46:08,106.00
57,00:47:20,AI #12 audio+transcript,"Source 00:47:05-00:49:36; peak 00:47:20; score 79.8; audio: sudden noise candidate, sudden jump +12.8 dB, above local baseline +7.1 dB, near-clipping peak | transcript: strong reaction phrase, vocal reaction word + fear/surprise phrase + laugh/funny phrase (Oh, oh, where the fuck am I? / Okay, small, I'll stop it now / We're gonna leave now because I'm scare",00:47:05,00:49:36,00:47:20,79.85
58,00:47:30,"BIT #21 Possible running bit: ""pretty much""","Running bit: Possible running bit: ""pretty much""; occurrence 2/3; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""But you're pretty much caught up to date""",00:47:22,00:47:42,00:47:30,91.26
59,00:52:28,AI #26 audio,"Source 00:52:16-00:52:47; peak 00:52:28; score 48.1; audio: unusual loudness, sudden jump +10.8 dB, above local baseline +10.1 dB, near-clipping peak",00:52:16,00:52:47,00:52:28,48.08
60,00:55:36,ASSET #33 Not again.mp4,"Asset suggestion: Not again.mp4; repeat mistake or recurring bit; repeat mistake or recurring bit; style boost +18; transcript: ""And we're back here again""",00:55:36,00:55:38,00:55:36,104.00
61,00:56:03,ASSET #03 Face palm.mp4,"Asset suggestion: Face palm.mp4; self-own or bad decision, possible facepalm/stupidity insert; self-own or bad decision, possible facepalm/stupidity insert; style boost +30; transcript: ""Oh, the thing is it's going to be so fucking stupid as well""",00:56:03,00:56:06,00:56:03,126.00
62,00:56:24,AI #37 transcript,"Source 00:56:07-00:56:45; peak 00:56:24; score 36.0; transcript: laugh/funny phrase + fear/surprise phrase (I can't / Help me out); Suggested assets: self-own or bad decision, possible facepalm/stupidity insert: Face palm.mp4 (self-own or bad decision, possible facepalm/stupidity insert; style boost +30)",00:56:07,00:56:45,00:56:24,36.00
63,00:57:06,ASSET #01 that's-what-she-said.mp4,"Asset suggestion: that's-what-she-said.mp4; innuendo or accidental double entendre, possible That's what she said response; innuendo or accidental double entendre, possible That's what she said response; style boost +35; transcript: ""And we go and put it in the front door""",00:57:06,00:57:08,00:57:06,137.00
64,00:58:25,ASSET #02 that's-what-she-said.mp4,"Asset suggestion: that's-what-she-said.mp4; innuendo or accidental double entendre, possible That's what she said response; innuendo or accidental double entendre, possible That's what she said response; style boost +35; transcript: ""Then we've got the thing we put it in the front door""",00:58:25,00:58:27,00:58:25,137.00
65,00:58:33,AI #30 transcript,"Source 00:58:21-00:59:35; peak 00:58:33; score 41.0; transcript: fear/surprise phrase, vocal reaction word + laugh/funny phrase (Oh my god, this game's like literally an hour / I can't bloody wait); Suggested assets: innuendo or accidental double entendre, possible That's what she said response: that's-what-she-said.mp4 (innuendo or accidental double entendr",00:58:21,00:59:35,00:58:33,41.00
66,00:58:46,ASSET #04 Face palm.mp4,"Asset suggestion: Face palm.mp4; self-own or bad decision, possible facepalm/stupidity insert; self-own or bad decision, possible facepalm/stupidity insert; style boost +30; transcript: ""Am I just stupid?""",00:58:46,00:58:47,00:58:46,126.00
67,00:59:13,ASSET #20 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""I can't bloody wait""",00:59:13,00:59:17,00:59:13,106.00
68,00:59:45,"BIT #07 Possible running bit: ""down here""","Running bit: Possible running bit: ""down here""; occurrence 5/6; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""The pink L down here""",00:59:37,00:59:56,00:59:45,104.00
69,01:01:12,ASSET #21 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""Wait, maybe I got the A""",01:01:12,01:01:14,01:01:12,106.00
70,01:01:59,ASSET #34 Not again.mp4,"Asset suggestion: Not again.mp4; repeat mistake or recurring bit; repeat mistake or recurring bit; style boost +18; transcript: ""That's now locked again""",01:01:59,01:02:00,01:01:59,104.00
71,01:02:23,ASSET #35 Not again.mp4,"Asset suggestion: Not again.mp4; repeat mistake or recurring bit; repeat mistake or recurring bit; style boost +18; transcript: ""So why would I think to do it again?""",01:02:23,01:02:25,01:02:23,104.00
72,01:02:33,ASSET #36 Not again.mp4,"Asset suggestion: Not again.mp4; repeat mistake or recurring bit; repeat mistake or recurring bit; style boost +18; transcript: ""Like, why would I press it again?""",01:02:33,01:02:34,01:02:33,104.00
73,01:03:48,ASSET #37 Not again.mp4,"Asset suggestion: Not again.mp4; repeat mistake or recurring bit; repeat mistake or recurring bit; style boost +18; transcript: ""Let's see if I can go in here again""",01:03:48,01:03:55,01:03:48,104.00
74,01:04:55,AI #17 audio+chat,"Source 01:04:00-01:05:13; peak 01:04:55; score 70.2; audio: unusual loudness, above local baseline +16.3 dB, near-clipping peak | chat: chat spike +2 messages, 2 active chatter(s); Suggested assets: repeat mistake or recurring bit: Not again.mp4 (repeat mistake or recurring bit; style boost +18)",01:04:00,01:05:13,01:04:55,70.18
75,01:06:23,"BIT #20 Possible running bit: ""murder room""","Running bit: Possible running bit: ""murder room""; occurrence 3/3; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""We can finally go in the murder room""",01:06:15,01:06:35,01:06:23,92.11
76,01:07:54,ASSET #08 Wrong way.mp4,"Asset suggestion: Wrong way.mp4; wrong direction or navigation fail; wrong direction or navigation fail; style boost +20; transcript: ""He lost a child, made a child doll""",01:07:54,01:07:56,01:07:54,114.00
77,01:08:18,ASSET #06 Face palm.mp4,"Asset suggestion: Face palm.mp4; streamer references own stupidity; streamer references own stupidity; style boost +30; transcript: ""Why there's a full on brain here? I don't know""",01:08:18,01:08:20,01:08:18,116.00
78,01:08:45,ASSET #22 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""Wait, how'd I get down?""",01:08:45,01:08:47,01:08:45,106.00
79,01:08:59,AI #31 transcript,"Source 01:08:47-01:09:18; peak 01:08:59; score 41.0; transcript: fear/surprise phrase, vocal reaction word (Oh my god); Suggested assets: long wait or dead air gag: 84 years.mp4 (long wait or dead air gag; style boost +18) | long wait or dead air gag: 84 years.mp4 (long wait or dead air gag; style boost +18)",01:08:47,01:09:18,01:08:59,41.00
80,01:10:06,ASSET #23 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""Wait, is it above the fireplace?""",01:10:06,01:10:08,01:10:06,106.00
81,01:10:50,"BIT #15 Possible running bit: ""can't believe""","Running bit: Possible running bit: ""can't believe""; occurrence 4/4; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""Can't believe Italy's not made this World Cup, you know""",01:10:42,01:11:02,01:10:50,94.28
82,01:12:12,AI #38 transcript,Source 01:12:00-01:12:31; peak 01:12:12; score 36.0; transcript: fear/surprise phrase (Scared myself); Suggested assets: repeat mistake or recurring bit: Not again.mp4 (repeat mistake or recurring bit; style boost +18),01:12:00,01:12:31,01:12:12,36.00
83,01:12:26,ASSET #38 Not again.mp4,"Asset suggestion: Not again.mp4; repeat mistake or recurring bit; repeat mistake or recurring bit; style boost +18; transcript: ""Kind of wish it said again where it wanted me to go""",01:12:26,01:12:29,01:12:26,104.00
84,01:14:10,AI #39 transcript,Source 01:13:58-01:15:00; peak 01:14:10; score 36.0; transcript: fear/surprise phrase + laugh/funny phrase (Why did we both think it said fireplace? / I can't reach it. I have to get the chair); Suggested assets: repeat mistake or recurring bit: Not again.mp4 (repeat mistake or recurring bit; style boost +18),01:13:58,01:15:00,01:14:10,36.00
85,01:14:26,ASSET #39 Not again.mp4,"Asset suggestion: Not again.mp4; repeat mistake or recurring bit; repeat mistake or recurring bit; style boost +18; transcript: ""It was the same thing as well, like the house kept changing""",01:14:26,01:14:28,01:14:26,104.00
86,01:16:51,"BIT #14 Possible running bit: ""it's fine""","Running bit: Possible running bit: ""it's fine""; occurrence 3/3; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""Yeah, I forgot about the slots, it's fine""",01:16:43,01:17:03,01:16:51,95.00
87,01:17:19,AI #07 audio+transcript,"Source 01:17:07-01:17:58; peak 01:17:19; score 94.1; audio: sudden noise candidate, sudden jump +19.0 dB, above local baseline +8.7 dB, near-clipping peak | transcript: fear/surprise phrase (More than luck at what the f**k)",01:17:07,01:17:58,01:17:19,94.06
88,01:18:10,"BIT #22 Possible running bit: ""pretty much""","Running bit: Possible running bit: ""pretty much""; occurrence 3/3; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""I don't know, I don't know, he was dodgy though. I think that's pretty much confirmed""",01:18:02,01:18:23,01:18:10,91.26
89,01:18:43,AI #32 transcript,"Source 01:18:31-01:19:03; peak 01:18:43; score 41.0; transcript: fear/surprise phrase, vocal reaction word (No, let's just say like I'll help you)",01:18:31,01:19:03,01:18:43,41.00
90,01:20:01,ASSET #09 Wrong way.mp4,"Asset suggestion: Wrong way.mp4; wrong direction or navigation fail; wrong direction or navigation fail; style boost +20; transcript: ""You said you lost a toy. Let me find it""",01:20:01,01:20:03,01:20:01,114.00
91,01:20:23,ASSET #05 Face palm.mp4,"Asset suggestion: Face palm.mp4; self-own or bad decision, possible facepalm/stupidity insert; self-own or bad decision, possible facepalm/stupidity insert; style boost +30; transcript: ""I thought it was just the monkey in the fridge now. What am I doing?""",01:20:23,01:20:28,01:20:23,126.00
92,01:21:24,ASSET #24 84 years.mp4,"Asset suggestion: 84 years.mp4; long wait or dead air gag; long wait or dead air gag; style boost +18; transcript: ""Wait""",01:21:24,01:21:26,01:21:24,106.00
93,01:21:40,"BIT #08 Possible running bit: ""it's here""","Running bit: Possible running bit: ""it's here""; occurrence 6/6; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""Uh, where is it? Oh, it's here""",01:21:32,01:21:52,01:21:40,104.00
94,01:22:57,"BIT #11 Possible running bit: ""didn't have""","Running bit: Possible running bit: ""didn't have""; occurrence 4/5; repeated two-word proper/reference phrase; auto-discovered repeated reference; transcript: ""I didn't have any friends when I was a kid""",01:22:49,01:23:09,01:22:57,101.00
95,01:24:58,AI #05 audio+chat+transcript,"Source 01:24:15-01:25:24; peak 01:24:58; score 106.2; audio: unusual loudness, sudden jump +11.8 dB, above local baseline +14.5 dB | chat: chat spike +2 messages | transcript: laugh/funny phrase (I can't fucking say)",01:24:15,01:25:24,01:24:58,106.19
96,01:26:02,AI #23 audio,"Source 01:25:50-01:26:20; peak 01:26:02; score 52.1; audio: sudden noise candidate, sudden jump +13.0 dB, above local baseline +10.4 dB, near-clipping peak; Suggested assets: long wait or dead air gag: 84 years.mp4 (long wait or dead air gag; style boost +18)",01:25:50,01:26:20,01:26:02,52.10
97,01:26:25,AI #25 audio,"Source 01:26:13-01:26:44; peak 01:26:25; score 49.1; audio: sudden noise candidate, sudden jump +20.0 dB; Suggested assets: long wait or dead air gag: 84 years.mp4 (long wait or dead air gag; style boost +18)",01:26:13,01:26:44,01:26:25,49.06
98,01:28:53,AI #01 audio+chat+transcript,"Source 01:27:14-01:29:50; peak 01:28:53; score 158.7; audio: sudden noise candidate, sudden jump +24.9 dB, above local baseline +11.3 dB | chat: chat spike +3 messages, 1 reaction keyword(s), 2 active chatter(s) | transcript: laugh/funny phrase + laugh/funny phrase, vocal reaction word + fear/surprise phrase, strong reaction phrase + fear/surprise phrase, vo",01:27:14,01:29:50,01:28:53,158.70
99,01:29:32,ASSET #07 Face palm.mp4,"Asset suggestion: Face palm.mp4; streamer references own stupidity; streamer references own stupidity; style boost +30; transcript: ""Thank you for the follow clever Fox appreciate it""",01:29:32,01:29:35,01:29:32,116.00
100,01:30:07,AI #09 audio+chat,"Source 01:29:55-01:30:50; peak 01:30:07; score 84.2; audio: sudden noise candidate, sudden jump +34.9 dB, near-clipping peak | chat: chat spike +1 messages, 1 reaction keyword(s), 2 active chatter(s)",01:29:55,01:30:50,01:30:07,84.18
